Longitude,Latitude
nan,nan
nan,nan
0.325386,2.48253
0.669185,4.97534
1.02169,7.46452
1.39231,9.9451
1.7539,12.4347
2.15174,14.9459
2.5857,17.5325
2.98353,19.9914
3.39938,22.4433
3.85145,24.9645
4.26733,27.3565
4.71031,29.8751
5.17144,32.3819
5.63249,34.8294
6.04839,37.276
6.4914,39.7214
6.95249,42.2536
7.39552,44.6624
7.86563,47.1678
8.30864,49.6377
8.76068,52.0819
9.1856,54.6019
9.5563,57.1197
9.7371,58.0404
9.7371,58.0404
10.0626,59.7519
10.6322,62.2608
11.2108,64.7241
11.8166,67.1785
12.5037,69.6965
13.209,72.1932
14.0136,74.65
14.8545,77.0513
15.7316,79.4349
16.6358,81.7861
17.5852,84.1941
3.82311,-0.464674
4.10269,2.0152
4.39798,4.48683
4.71323,6.96125
5.03793,9.43415
5.38125,11.9042
5.74257,14.3772
6.17631,16.9369
6.59205,19.3788
7.02593,21.8052
7.48688,24.3282
7.89371,26.7292
8.32761,29.2334
8.77058,31.7277
9.22261,34.1854
9.35823,34.945
9.35823,34.945
9.65654,36.6363
10.0996,39.0696
10.5697,41.5929
11.0127,43.9894
11.4828,46.4859
11.971,48.9393
12.4683,51.3802
12.9927,53.9024
13.508,56.2956
14.1952,58.7369
14.8914,61.1514
15.6057,63.5258
16.3381,65.867
17.1428,68.2661
17.9747,70.6274
18.8156,72.9575
19.6837,75.2578
19.9821,76.0042
19.9821,76.0042
20.606,77.5925
21.4741,79.9283
22.4055,82.312
3.82311,-0.464674
4.10269,2.0152
4.39798,4.48683
4.71323,6.96125
5.03793,9.43415
5.38125,11.9042
5.74257,14.3772
6.17631,16.9369
6.59205,19.3788
7.02593,21.8052
7.48688,24.3282
7.89371,26.7292
8.32761,29.2334
8.77058,31.7277
9.22261,34.1854
9.35823,34.945
9.35823,34.945
9.65654,36.6363
10.0996,39.0696
10.5697,41.5929
11.0127,43.9894
11.4828,46.4859
11.971,48.9393
12.4683,51.3802
12.9927,53.9024
13.508,56.2956
14.1952,58.7369
14.8914,61.1514
15.6057,63.5258
16.3381,65.867
17.1428,68.2661
17.9747,70.6274
18.8156,72.9575
19.6837,75.2578
19.9821,76.0042
19.9821,76.0042
20.606,77.5925
21.4741,79.9283
22.4055,82.312
7.42072,-0.859259
7.68272,1.60915
7.95164,4.06375
8.24725,6.51302
8.57051,8.95222
8.92136,11.3919
9.29097,13.8238
9.69692,16.3456
10.1303,18.7618
10.5548,21.1682
11.0247,23.6925
11.4674,26.0955
11.9282,28.583
12.3982,31.0583
12.8773,33.5138
13.3292,35.9714
13.7811,38.3988
14.2511,40.9121
14.6941,43.2963
15.1732,45.7707
15.363,46.7425
15.363,46.7425
15.6613,48.2016
16.1495,50.5959
16.7371,53.0257
17.352,55.2813
18.0301,57.638
18.7264,60.0147
19.4407,62.3403
20.1731,64.6125
20.9688,66.9439
21.7917,69.2518
22.6417,71.5319
23.5008,73.7699
24.4412,76.0835
25.3727,78.3761
26.3674,80.7009
17.5852,84.1941
17.7208,84.5434
17.7208,84.5434
18.5436,86.5244
22.4055,82.312
23.2555,84.6044
18.5436,86.5244
19.6739,88.8648
20.777,91.1007
21.9164,93.3933
22.9924,95.5625
24.1408,97.8674
25.2531,100.06
25.5063,100.573
25.5063,100.573
26.3563,102.293
27.4685,104.562
28.4361,106.906
29.4036,109.216
30.3802,111.523
31.0675,113.132
23.2555,84.6044
24.1416,86.9591
24.9826,89.2992
25.8687,91.684
26.7187,93.9575
27.5958,96.3811
28.4458,98.6868
28.6357,99.2307
28.6357,99.2307
29.2958,101.049
30.1458,103.434
31.1586,105.747
32.1623,108.036
33.1661,110.326
33.8715,111.932
31.0675,113.132
31.3749,113.854
32.3696,116.119
33.3372,118.405
34.3771,120.754
35.2904,123.096
35.5707,123.819
35.5707,123.819
36.2308,125.508
37.2979,127.82
38.3649,130.11
39.5224,132.471
33.8715,111.932
34.1789,112.63
35.2008,114.897
36.1684,117.19
37.1721,119.492
37.7057,120.454
37.7057,120.454
38.3568,121.633
39.6591,123.811
40.8619,125.999
42.0918,128.121
43.4032,130.272
22.4055,82.312
23.3911,84.7269
24.4853,86.9805
25.5795,89.2076
26.719,91.4781
27.8132,93.6418
28.9707,95.9346
30.074,98.1016
30.1644,98.3041
30.1644,98.3041
31.1049,100.359
32.1087,102.638
33.0582,104.939
34.0167,107.243
34.9752,109.547
35.6535,111.167
26.3674,80.7009
27.4526,82.9769
28.3388,85.3128
29.2159,87.6119
30.1293,89.96
31.0155,92.2025
31.965,94.5806
32.8783,96.8464
33.864,99.1501
34.8588,101.468
35.8354,103.782
36.803,106.072
37.7797,108.364
38.467,109.962
35.6535,111.167
35.9429,111.858
36.9195,114.121
37.9142,116.332
38.8728,118.592
39.3069,119.569
39.3069,119.569
39.8585,120.813
40.7447,123.15
41.5314,125.274
42.3724,127.434
43.3399,129.772
43.3399,129.772
43.9097,130.797
43.9097,130.797
44.6694,132.155
45.9898,134.539
38.467,109.962
38.7654,110.652
39.7421,112.872
40.7368,115.059
41.7949,117.261
42.844,119.396
43.6037,120.658
43.6037,120.658
44.1192,121.501
45.4126,123.538
46.3259,125.734
47.4293,127.91
47.4293,127.91
48.5235,130.298
49.6269,132.686
39.5224,132.471
40.7433,134.709
41.9732,136.839
43.4032,130.272
43.765,130.842
43.765,130.842
44.7327,132.386
45.9898,134.539
41.9732,136.839
43.2302,138.971
44.4963,141.097
45.8077,143.261
47.1371,145.437
48.4575,147.555
49.805,149.722
51.1164,151.852
52.464,154.022
53.7573,156.125
55.0687,158.278
56.38,160.451
56.3981,160.472
56.3981,160.472
57.9538,162.526
59.618,164.581
61.1285,166.471
62.7023,168.443
64.2671,170.427
65.8319,172.413
67.3243,174.327
68.7987,176.405
70.2549,178.396
45.9898,134.539
47.1745,136.719
48.3683,138.865
49.5892,141.05
50.8463,143.27
52.0401,145.467
53.2701,147.703
54.4729,149.903
55.7029,152.14
56.9058,154.302
58.1177,156.511
59.3115,158.664
60.5053,160.847
61.7715,163.133
62.9472,165.257
64.1682,167.469
65.3891,169.687
66.601,171.908
67.7587,174.048
69.0339,176.252
70.2549,178.396
45.9898,134.539
47.1745,136.719
48.3683,138.865
49.5892,141.05
50.8463,143.27
52.0401,145.467
53.2701,147.703
54.4729,149.903
55.7029,152.14
56.9058,154.302
58.1177,156.511
59.3115,158.664
60.5053,160.847
61.7715,163.133
62.9472,165.257
64.1682,167.469
65.3891,169.687
66.601,171.908
67.7587,174.048
69.0339,176.252
70.2549,178.396
49.6269,132.686
50.694,134.911
51.7612,137.094
52.8645,139.319
54.004,141.567
55.1978,143.726
56.455,145.927
57.7031,148.108
58.9603,150.321
60.1813,152.478
61.4113,154.661
62.6504,156.758
63.9257,158.904
65.2462,161.173
66.4581,163.274
67.7334,165.431
69.0358,167.606
70.3383,169.808
71.5502,171.902
72.8165,174.096
74.0013,176.171
70.2549,178.396
71.7473,180.588
73.1312,182.621
74.3703,184.648
74.0013,176.171
75.2675,178.401
76.5066,180.574
77.7096,182.672
74.3703,184.648
75.6365,186.794
76.8937,188.94
78.1418,191.126
79.4171,193.33
80.6562,195.454
81.9043,197.599
83.2429,199.878
84.4911,201.975
85.8297,204.163
87.1231,206.263
88.4979,208.493
89.8456,210.627
91.1209,212.66
92.4958,214.83
93.8977,216.978
95.2364,219.027
96.6656,221.199
98.0223,223.26
99.4062,225.333
100.799,227.402
102.201,229.471
103.63,231.542
105.069,233.617
106.543,235.709
108.054,237.795
109.474,239.744
110.994,241.826
112.45,243.8
113.997,245.886
115.48,247.86
116.964,249.831
118.52,251.92
120.012,253.918
121.523,255.91
123.025,257.893
124.517,259.89
126.019,261.913
127.529,263.943
128.959,265.846
130.478,267.858
131.998,269.913
133.518,271.947
134.956,273.854
77.7096,182.672
78.9396,184.871
80.1787,187.069
81.4178,189.255
82.6841,191.456
83.9051,193.577
85.1442,195.718
86.4557,197.98
87.7129,200.03
89.0335,202.212
90.3178,204.307
91.6746,206.515
93.0132,208.626
94.2977,210.645
95.6906,212.769
97.0836,214.906
98.4223,216.949
99.8424,219.11
101.199,221.161
102.565,223.22
103.958,225.274
105.342,227.335
106.762,229.394
108.182,231.457
109.621,233.522
111.113,235.592
112.515,237.539
114.026,239.609
115.473,241.568
117.011,243.643
118.486,245.607
119.969,247.578
121.552,249.659
123.036,251.665
124.528,253.648
126.03,255.642
127.523,257.654
129.033,259.664
130.553,261.679
131.991,263.577
133.502,265.617
135.022,267.656
136.542,269.669
137.998,271.58
134.956,273.854
136.494,275.918
137.998,271.58
139.509,273.636
136.494,275.918
138.059,278.001
139.525,279.929
141.071,281.973
142.636,284.021
144.12,285.952
145.676,287.966
147.141,289.908
148.716,291.967
150.281,294.013
151.791,295.948
153.402,297.987
154.939,299.91
156.496,301.84
158.142,303.86
